year,city,lagos_avg_temp,Decade_MA_lagos,global_avg_temp,Decade_MA_global
1880,Lagos,26.14,25.912,8.12,8.046
1879,Lagos,25.67,25.945,8.17,8.031
1878,Lagos,26.26,26.029,8.83,8.105
1877,Lagos,26.35,26.155,8.54,8.168
1876,Lagos,25.82,26.15,8.08,8.181
1875,Lagos,25.82,26.131,7.86,8.175
1874,Lagos,26.08,26.096,8.43,8.241
1873,Lagos,26.46,26.1,8.35,8.278
1872,Lagos,,,8.19,
1871,Lagos,,,8.12,
1870,Lagos,,,8.2,
1869,Lagos,,,8.43,
1868,Lagos,,,8.25,
1867,Lagos,,,8.44,
1866,Lagos,,,8.29,
1865,Lagos,,,8.18,
1864,Lagos,,,7.98,
1863,Lagos,,,8.11,
1862,Lagos,25.9,,7.56,
1861,Lagos,25.95,,7.85,
1860,Lagos,26.01,,7.96,
1859,Lagos,26.18,,8.25,
1858,Lagos,25.92,,8.1,
1857,Lagos,25.45,,7.76,
1856,Lagos,26.35,,8,
1855,Lagos,,,8.11,
1854,Lagos,,,8.21,
1853,Lagos,,,8.04,
1852,Lagos,,,8.1,
1851,Lagos,26.1,,8.18,
1850,Lagos,25.87,,7.9,
1849,Lagos,25.98,,7.98,
